pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type,place
63.867,-114.23,0.0,top,C1,CL10A475KP8NNNC,,CAPC1608X90N,CL10A475KP8NNNC,smt,True
161.785,-81.455,0.0,top,C13,CL03A104KQ3NNNC,,CAPC0603X33N,CL03A104KQ3NNNC,smt,True
63.867,-116.52,0.0,top,C14,CL10B105KP8NNNC,,CAPC1608X90N,CL10B105KP8NNNC,smt,True
63.867,-118.81,0.0,top,C16,CL10A475KP8NNNC,,CAPC1608X90N,CL10A475KP8NNNC,smt,True
161.785,-70.835,0.0,top,C2,CL03A104KQ3NNNC,,CAPC0603X33N,CL03A104KQ3NNNC,smt,True
161.785,-72.605,0.0,top,C3,CL03A104KQ3NNNC,,CAPC0603X33N,CL03A104KQ3NNNC,smt,True
161.785,-74.375,0.0,top,C4,CL03A104KQ3NNNC,,CAPC0603X33N,CL03A104KQ3NNNC,smt,True
161.785,-76.145,0.0,top,C5,CL03A104KQ3NNNC,,CAPC0603X33N,CL03A104KQ3NNNC,smt,True
161.785,-77.915,0.0,top,C6,CL03A104KQ3NNNC,,CAPC0603X33N,CL03A104KQ3NNNC,smt,True
161.785,-79.685,0.0,top,C9,CL03A104KQ3NNNC,,CAPC0603X33N,CL03A104KQ3NNNC,smt,True
39.377,-39.625,0.0,top,CAN1,2601-1102,,26011102,2601-1102,tht,True
97.9,-36.35,0.0,top,D1,SB240,,DIOAD1910W86L670D310,SB240,tht,True
97.9,-70.3,0.0,top,D10,SB240,,DIOAD1910W86L670D310,SB240,tht,True
97.9,-75.15,0.0,top,D11,SB240,,DIOAD1910W86L670D310,SB240,tht,True
97.9,-80.0,0.0,top,D12,SB240,,DIOAD1910W86L670D310,SB240,tht,True
97.9,-41.2,0.0,top,D2,SB240,,DIOAD1910W86L670D310,SB240,tht,True
97.9,-46.05,0.0,top,D3,SB240,,DIOAD1910W86L670D310,SB240,tht,True
97.9,-50.9,0.0,top,D6,SB240,,DIOAD1910W86L670D310,SB240,tht,True
97.9,-55.75,0.0,top,D7,SB240,,DIOAD1910W86L670D310,SB240,tht,True
97.9,-60.6,0.0,top,D8,SB240,,DIOAD1910W86L670D310,SB240,tht,True
97.9,-65.45,0.0,top,D9,SB240,,DIOAD1910W86L670D310,SB240,tht,True
51.717,-39.625,0.0,top,DO1,2601-1102,,26011102,2601-1102,tht,True
39.377,-78.975,0.0,top,DO10,2601-1102,,26011102,2601-1102,tht,True
51.717,-78.975,0.0,top,DO11,2601-1102,,26011102,2601-1102,tht,True
64.057,-78.975,0.0,top,DO12,2601-1102,,26011102,2601-1102,tht,True
76.397,-78.975,0.0,top,DO13,2601-1102,,26011102,2601-1102,tht,True
64.057,-39.625,0.0,top,DO2,2601-1102,,26011102,2601-1102,tht,True
76.397,-39.625,0.0,top,DO3,2601-1102,,26011102,2601-1102,tht,True
88.737,-39.625,0.0,top,DO4,2601-1102,,26011102,2601-1102,tht,True
39.377,-59.3,0.0,top,DO5,2601-1102,,26011102,2601-1102,tht,True
51.717,-59.3,0.0,top,DO6,2601-1102,,26011102,2601-1102,tht,True
64.057,-59.3,0.0,top,DO7,2601-1102,,26011102,2601-1102,tht,True
76.397,-59.3,0.0,top,DO8,2601-1102,,26011102,2601-1102,tht,True
88.737,-59.3,0.0,top,DO9,2601-1102,,26011102,2601-1102,tht,True
59.377,-114.713,0.0,top,IC1,XB24CAWIT-001,,XB24CAWIT001,XB24CAWIT-001,tht,True
208.75,-61.200001,90.0,top,IC2,LD29080DT33R,,TO228P972X240-3N,LD29080DT33R,smt,True
227.5,-60.5,0.0,top,IC3,LD29080DT50R,,LD29080DT50R,LD29080DT50R,smt,True
189.75,-26.5,-90.0,top,J1,2601-1103/000-004,,26011103,2601-1103_000-004,tht,True
189.75,-56.214284,-90.0,top,J2,2601-1103/000-004,,26011103,2601-1103_000-004,tht,True
189.75,-85.928568,-90.0,top,J3,2601-1103/000-004,,26011103,2601-1103_000-004,tht,True
189.75,-115.642852,-90.0,top,J4,2601-1103/000-004,,26011103,2601-1103_000-004,tht,True
189.75,-41.357142,-90.0,top,J5,2601-1103/000-004,,26011103,2601-1103_000-004,tht,True
189.75,-71.071426,-90.0,top,J6,2601-1103/000-004,,26011103,2601-1103_000-004,tht,True
189.75,-100.78571,-90.0,top,J7,2601-1103/000-004,,26011103,2601-1103_000-004,tht,True
189.75,-130.499999,-90.0,top,J8,2601-1103/000-004,,26011103,2601-1103_000-004,tht,True
158.35,-71.4,0.0,top,LED1-A1,150060AS75000,,LEDC1608X80N,150060AS75000,smt,True
158.35,-74.3,0.0,top,LED1-B1,150060BS75000,,LEDC1608X80N,150060BS75000,smt,True
158.35,-77.2,0.0,top,LED1-G1,150060GS75000,,LEDC1608X80N,150060GS75000,smt,True
158.35,-80.1,0.0,top,LED1-R1,150060RS75000,,LEDC1608X80N,150060RS75000,smt,True
158.35,-83.0,0.0,top,LED1-Y1,150060YS75000,,LEDC1608X80N,150060YS75000,smt,True
135.35,-75.65,0.0,top,PowerIN1,2601-1502,,26011502,2601-1502,tht,True
109.939,-93.4,0.0,top,Q1,DMG9926USD-13,,SOIC127P600X175-8N,DMG9926USD-13,smt,True
